model,dynamic,formula,alorithm,bound,encoding_size,encoding_time,smt_solving_time,model_checking_result
railroad,linear,f1,new,5,3523,0.004313371,0.040903782,counterexample found
railroad,linear,f1,new,10,7013,0.007412573,0.078983805,counterexample found
railroad,linear,f1,new,15,10803,0.011308555,0.119463869,counterexample found
railroad,linear,f1,new,20,14893,0.01610147,0.166545557,counterexample found
railroad,linear,f1,new,25,19283,0.021931658,0.233638633,counterexample found
railroad,linear,f1,new,30,23973,0.028638037,0.262148578,counterexample found
railroad,linear,f1,new,35,28963,0.034589147,0.349706217,counterexample found
railroad,linear,f1,new,40,34253,0.042644492,0.443942756,counterexample found
railroad,linear,f1,new,45,39843,0.051597024,0.48819951,counterexample found
railroad,linear,f1,new,50,45733,0.096716521,0.606395457,counterexample found
railroad,linear,f2,new,5,3010,0.002513701,0.039961837,no counterexample
railroad,linear,f2,new,10,5690,0.00356202,0.0691231,no counterexample
railroad,linear,f2,new,15,8370,0.005369167,0.105069038,no counterexample
railroad,linear,f2,new,20,11050,0.007840102,0.144714268,no counterexample
railroad,linear,f2,new,25,13730,0.008887623,0.179447944,no counterexample
railroad,linear,f2,new,30,16410,0.011582246,0.211624931,no counterexample
railroad,linear,f2,new,35,19090,0.013711047,0.251127619,no counterexample
railroad,linear,f2,new,40,21770,0.015373459,0.317019178,no counterexample
railroad,linear,f2,new,45,24450,0.017530357,0.334326067,no counterexample
railroad,linear,f2,new,50,27130,0.020133865,0.448189734,no counterexample
railroad,linear,f3,new,5,4896,0.007534739,0.053941085,counterexample found
railroad,linear,f3,new,10,12856,0.021842935,0.12424284,counterexample found
railroad,linear,f3,new,15,24216,0.085614474,0.22584299,counterexample found
railroad,linear,f3,new,20,38976,0.087553734,0.344914192,counterexample found
railroad,linear,f3,new,25,57136,0.18854228,0.497196178,counterexample found
railroad,linear,f3,new,30,78696,0.272417986,0.699690883,counterexample found
railroad,linear,f3,new,35,103656,0.466730393,0.900917766,counterexample found
railroad,linear,f3,new,40,132016,0.644592456,1.176826518,counterexample found
railroad,linear,f3,new,45,163776,0.827720165,1.654329233,counterexample found
railroad,linear,f3,new,50,198936,1.215797286,1.912414979,counterexample found
railroad,linear,f4,new,5,5734,0.008225341,0.067552801,no counterexample
railroad,linear,f4,new,10,14349,0.022592665,0.150994931,no counterexample
railroad,linear,f4,new,15,26314,0.049061492,0.278741796,no counterexample
railroad,linear,f4,new,20,41629,0.091171888,0.444869156,no counterexample
railroad,linear,f4,new,25,60294,0.239813438,0.62985946,no counterexample
railroad,linear,f4,new,30,82309,0.283427499,0.804861028,no counterexample
railroad,linear,f4,new,35,107674,0.542626316,1.255493969,no counterexample
railroad,linear,f4,new,40,136389,0.665100611,3.006452586,no counterexample
railroad,linear,f4,new,45,168454,0.851339537,1.743862433,no counterexample
railroad,linear,f4,new,50,203869,1.268038467,3.286011911,no counterexample
car,linear,f1,new,5,7130,0.003194182,0.087534451,counterexample found
car,linear,f1,new,10,13775,0.005406815,0.167213997,counterexample found
car,linear,f1,new,15,20420,0.007490271,0.246983153,counterexample found
car,linear,f1,new,20,27065,0.009972716,0.325202559,counterexample found
car,linear,f1,new,25,33710,0.011965523,0.399316646,counterexample found
car,linear,f1,new,30,40355,0.014342406,0.483999279,counterexample found
car,linear,f1,new,35,47000,0.065083901,0.693227026,counterexample found
car,linear,f1,new,40,53645,0.02008832,0.641321665,counterexample found
car,linear,f1,new,45,60290,0.021853816,1.337486476,counterexample found
car,linear,f1,new,50,66935,0.024541826,1.893594832,counterexample found
car,linear,f2,new,5,7170,0.002905802,0.080139787,no counterexample
car,linear,f2,new,10,13845,0.004366183,0.147058369,no counterexample
car,linear,f2,new,15,20520,0.006957637,0.241867899,no counterexample
car,linear,f2,new,20,27195,0.00923874,0.344764608,no counterexample
car,linear,f2,new,25,33870,0.011348893,0.412849369,no counterexample
car,linear,f2,new,30,40545,0.013512584,0.497038057,no counterexample
car,linear,f2,new,35,47220,0.050094204,0.576023988,no counterexample
car,linear,f2,new,40,53895,0.018128519,0.898040204,no counterexample
car,linear,f2,new,45,60570,0.021307106,0.905116707,no counterexample
car,linear,f2,new,50,67245,0.023857969,0.947785077,no counterexample
car,linear,f3,new,5,9018,0.024993247,0.10312441,counterexample found
car,linear,f3,new,10,20953,0.022411942,0.246779754,counterexample found
car,linear,f3,new,15,36288,0.049441751,0.355909907,counterexample found
car,linear,f3,new,20,55023,0.088858695,0.552442012,counterexample found
car,linear,f3,new,25,77158,0.193515876,0.749682602,counterexample found
car,linear,f3,new,30,102693,0.343321415,1.024945267,counterexample found
car,linear,f3,new,35,131628,0.470152956,3.831410279,counterexample found
car,linear,f3,new,40,163963,0.539279222,6.317435357,counterexample found
car,linear,f3,new,45,199698,0.841147864,8.207589692,counterexample found
car,linear,f3,new,50,238833,1.108929285,18.00688906,counterexample found
car,linear,f4,new,5,10045,0.009445234,0.121241112,no counterexample
car,linear,f4,new,10,22750,0.053244798,0.283268264,no counterexample
car,linear,f4,new,15,38805,0.05093364,0.627561263,no counterexample
car,linear,f4,new,20,58210,0.091780527,1.41587401,no counterexample
car,linear,f4,new,25,80965,0.199281173,3.207575228,no counterexample
car,linear,f4,new,30,107070,0.346562819,5.41992932,no counterexample
car,linear,f4,new,35,136525,0.402537706,9.926112591,no counterexample
car,linear,f4,new,40,169330,0.653077236,9.678548513,no counterexample
car,linear,f4,new,45,205485,0.999915799,11.77648614,no counterexample
car,linear,f4,new,50,244990,1.10028903,31.86782592,no counterexample
water,linear,f1,new,5,4467,0.004829908,0.054080515,counterexample found
water,linear,f1,new,10,8842,0.00704284,0.103565366,counterexample found
water,linear,f1,new,15,13517,0.010633067,0.156403913,counterexample found
water,linear,f1,new,20,18492,0.014750593,0.221870788,counterexample found
water,linear,f1,new,25,23767,0.020309858,0.282503825,counterexample found
water,linear,f1,new,30,29342,0.025592167,0.393779213,counterexample found
water,linear,f1,new,35,35217,0.031661207,0.422740781,counterexample found
water,linear,f1,new,40,41392,0.038662162,0.486217586,counterexample found
water,linear,f1,new,45,47867,0.04663452,0.963503855,counterexample found
water,linear,f1,new,50,54642,0.092669806,0.966994878,counterexample found
water,linear,f2,new,5,3957,0.002570509,0.05399543,no counterexample
water,linear,f2,new,10,7527,0.003714674,0.095781193,no counterexample
water,linear,f2,new,15,11097,0.005460432,0.141602603,no counterexample
water,linear,f2,new,20,14667,0.007817332,0.198996956,no counterexample
water,linear,f2,new,25,18237,0.009658274,0.249177638,no counterexample
water,linear,f2,new,30,21807,0.011618995,0.285034209,no counterexample
water,linear,f2,new,35,25377,0.013640367,0.401979452,no counterexample
water,linear,f2,new,40,28947,0.015723447,0.372950576,no counterexample
water,linear,f2,new,45,32517,0.018536841,0.443535929,no counterexample
water,linear,f2,new,50,36087,0.020740665,0.492191609,no counterexample
water,linear,f3,new,5,5799,0.04194967,0.07443691,counterexample found
water,linear,f3,new,10,14559,0.021554562,0.152091033,counterexample found
water,linear,f3,new,15,26669,0.048920487,0.258761714,counterexample found
water,linear,f3,new,20,42129,0.128110657,0.396489606,counterexample found
water,linear,f3,new,25,60939,0.191833504,0.56452535,counterexample found
water,linear,f3,new,30,83099,0.332056078,0.74598291,counterexample found
water,linear,f3,new,35,108609,0.462238226,0.96403475,counterexample found
water,linear,f3,new,40,137469,0.743305345,1.22431563,counterexample found
water,linear,f3,new,45,169679,0.868407364,1.491310852,counterexample found
water,linear,f3,new,50,205239,1.289577908,1.868574729,counterexample found
water,linear,f4,new,5,7175,0.015066983,0.092853175,no counterexample
water,linear,f4,new,10,20260,0.041009878,0.185084336,no counterexample
water,linear,f4,new,15,39645,0.096497543,0.333560186,no counterexample
water,linear,f4,new,20,65330,0.268674935,0.557412238,no counterexample
water,linear,f4,new,25,97315,0.457070105,0.787557784,no counterexample
water,linear,f4,new,30,135600,0.659590614,1.050349216,no counterexample
water,linear,f4,new,35,180185,1.084098527,1.383875921,no counterexample
water,linear,f4,new,40,231070,1.553600363,1.756434789,no counterexample
water,linear,f4,new,45,288255,2.134053755,2.2220121,no counterexample
water,linear,f4,new,50,351740,2.373810387,2.647673532,no counterexample
