model,dynamic,formula,alorithm,bound,encoding_size,encoding_time,smt_solving_time,model_checking_result
railroad,linear,f1,new,5,6585,0.002555962,0.56833028,counterexample found
railroad,linear,f1,new,10,12215,0.020185214,1.505053576,counterexample found
railroad,linear,f1,new,15,17845,0.030344155,2.5977779,counterexample found
railroad,linear,f1,new,20,23475,0.00766849,2.701265316,counterexample found
railroad,linear,f1,new,25,29105,0.010049464,2.591251526,counterexample found
railroad,linear,f1,new,30,34735,0.036041862,3.494507927,counterexample found
railroad,linear,f1,new,35,40365,0.014050671,2.713993559,counterexample found
railroad,linear,f1,new,40,45995,0.032200377,4.185039932,counterexample found
railroad,linear,f1,new,45,51625,0.034836019,4.427769677,counterexample found
railroad,linear,f1,new,50,57255,0.052672921,4.240785528,counterexample found
railroad,linear,f2,new,5,6575,0.002593868,0.818676535,no counterexample
railroad,linear,f2,new,10,12195,0.00418522,1.004915798,no counterexample
railroad,linear,f2,new,15,17815,0.030478992,2.418669022,no counterexample
railroad,linear,f2,new,20,23435,0.007798689,1.941453179,no counterexample
railroad,linear,f2,new,25,29055,0.010080729,2.970386031,no counterexample
railroad,linear,f2,new,30,34675,0.036188059,3.052216379,no counterexample
railroad,linear,f2,new,35,40295,0.038244117,3.829539701,no counterexample
railroad,linear,f2,new,40,45915,0.032423479,3.987383326,no counterexample
railroad,linear,f2,new,45,51535,0.035049007,4.133781786,no counterexample
railroad,linear,f2,new,50,57155,0.036918601,4.171017865,no counterexample
railroad,linear,f3,new,5,12525,0.008730869,1.040460817,counterexample found
railroad,linear,f3,new,10,28925,0.098098471,2.925898115,counterexample found
railroad,linear,f3,new,15,50625,0.102669489,5.723384646,counterexample found
railroad,linear,f3,new,20,77625,0.335156288,10.17771996,counterexample found
railroad,linear,f3,new,25,109925,0.448922653,14.72892114,counterexample found
railroad,linear,f3,new,30,147525,0.296435093,19.77948296,counterexample found
railroad,linear,f3,new,35,190425,0.987264932,28.7446203,counterexample found
railroad,linear,f3,new,40,238625,1.42709965,35.18980553,counterexample found
railroad,linear,f3,new,45,292125,1.697890421,50.72482939,counterexample found
