model,dynamic,formula,alorithm,bound,encoding_size,encoding_time,smt_solving_time,model_checking_result
railroad,polynomial,f1,new,2,2201,0.003832812,0.030025342,counterexample found
railroad,polynomial,f1,new,4,4067,0.004732944,0.058579047,counterexample found
railroad,polynomial,f1,new,6,5981,0.006572743,0.085350798,counterexample found
railroad,polynomial,f1,new,8,7943,0.009375086,0.132421999,counterexample found
railroad,polynomial,f1,new,10,9953,0.011530292,0.503918051,counterexample found
railroad,polynomial,f2,new,2,2030,0.002725767,0.033282491,no counterexample
railroad,polynomial,f2,new,4,3680,0.003586173,0.049703144,no counterexample
railroad,polynomial,f2,new,6,5330,0.005033053,0.065196844,no counterexample
railroad,polynomial,f2,new,8,6980,0.006466432,0.08648111,no counterexample
railroad,polynomial,f2,new,10,8630,0.008462248,0.120002538,no counterexample
railroad,polynomial,f2,new,12,10280,0.009885903,0.183304223,no counterexample
railroad,polynomial,f2,new,14,11930,0.011449805,0.226216481,no counterexample
railroad,polynomial,f2,new,16,13580,0.012811881,0.405348508,no counterexample
railroad,polynomial,f2,new,18,15230,0.014225442,0.342124439,no counterexample
railroad,polynomial,f2,new,20,16880,0.015635055,0.730559534,no counterexample
railroad,polynomial,f3,new,2,2333,0.005327589,0.044017348,counterexample found
railroad,polynomial,f3,new,4,4741,0.007224665,0.076431724,counterexample found
railroad,polynomial,f3,new,6,7693,0.028392477,0.172008066,counterexample found
railroad,polynomial,f3,new,8,11189,0.019557563,0.167361952,counterexample found
railroad,polynomial,f4,new,2,2801,0.004749971,0.04399429,no counterexample
railroad,polynomial,f4,new,4,5619,0.007087983,0.077227009,no counterexample
railroad,polynomial,f4,new,6,8973,0.012570757,0.12013483,no counterexample
railroad,polynomial,f4,new,8,12863,0.019228861,0.197249886,no counterexample
railroad,polynomial,f4,new,10,17289,0.09073175,0.351526377,no counterexample
railroad,polynomial,f4,new,12,22251,0.037537208,0.355714347,no counterexample
railroad,polynomial,f4,new,14,27749,0.133693336,0.584899328,no counterexample
railroad,polynomial,f4,new,16,33783,0.063876648,1.010117791,no counterexample
railroad,polynomial,f4,new,18,40353,0.079767626,1.614813697,no counterexample
railroad,polynomial,f4,new,20,47459,0.16235265,1.295488665,no counterexample
car,polynomial,f1,new,2,2061,0.002474496,0.072105908,no counterexample
car,polynomial,f1,new,4,3645,0.003354277,0.112145553,no counterexample
car,polynomial,f1,new,6,5229,0.004887649,0.152343841,no counterexample
car,polynomial,f1,new,8,6813,0.006227101,0.196979584,no counterexample
car,polynomial,f1,new,10,8397,0.007505189,0.240629927,no counterexample
car,polynomial,f1,new,12,9981,0.009577298,0.283790641,no counterexample
car,polynomial,f1,new,14,11565,0.010988185,0.326222942,no counterexample
car,polynomial,f1,new,16,13149,0.01205734,0.371714343,no counterexample
car,polynomial,f1,new,18,14733,0.013501058,0.415274705,no counterexample
car,polynomial,f1,new,20,16317,0.015168559,0.462795329,no counterexample
car,polynomial,f2,new,2,2074,0.004711458,0.06227169,no counterexample
car,polynomial,f2,new,4,3664,0.003342978,0.103508963,no counterexample
car,polynomial,f2,new,6,5254,0.00470942,0.144514071,no counterexample
car,polynomial,f2,new,8,6844,0.006104983,0.186229124,no counterexample
car,polynomial,f2,new,10,8434,0.007955646,0.229380652,no counterexample
car,polynomial,f2,new,12,10024,0.00945604,0.273670971,no counterexample
car,polynomial,f2,new,14,11614,0.011177795,0.332086378,no counterexample
car,polynomial,f2,new,16,13204,0.011961202,0.357239041,no counterexample
car,polynomial,f2,new,18,14794,0.05509105,0.397688492,no counterexample
car,polynomial,f2,new,20,16384,0.014258827,0.448260897,no counterexample
car,polynomial,f3,new,2,1462,0.005843615,0.015464383,no counterexample
car,polynomial,f3,new,4,3308,0.005603381,0.030670891,no counterexample
car,polynomial,f3,new,6,5698,0.009999947,0.050677481,no counterexample
car,polynomial,f3,new,8,8632,0.015803726,0.075679505,no counterexample
car,polynomial,f3,new,10,12110,0.022572232,0.104455172,no counterexample
car,polynomial,f3,new,12,16132,0.031445323,0.138055116,no counterexample
car,polynomial,f3,new,14,20698,0.042978376,0.178101209,no counterexample
car,polynomial,f3,new,16,25808,0.107801716,0.221854903,no counterexample
car,polynomial,f3,new,18,31462,0.073702596,0.268120127,no counterexample
car,polynomial,f3,new,20,37660,0.08858896,0.322915204,no counterexample
car,polynomial,f4,new,2,2705,0.004330949,0.072944926,no counterexample
car,polynomial,f4,new,4,5369,0.006716896,0.128176009,no counterexample
car,polynomial,f4,new,6,8569,0.012045696,0.193766289,no counterexample
car,polynomial,f4,new,8,12305,0.018158462,0.251980783,no counterexample
car,polynomial,f4,new,10,16577,0.026353349,0.333582759,no counterexample
car,polynomial,f4,new,12,21385,0.080154895,0.399365765,no counterexample
car,polynomial,f4,new,14,26729,0.046429393,0.480093632,no counterexample
car,polynomial,f4,new,16,32609,0.11169229,0.569493819,no counterexample
car,polynomial,f4,new,18,39025,0.137278915,0.661700933,no counterexample
car,polynomial,f4,new,20,45977,0.165302449,0.769075187,no counterexample
water,polynomial,f1,new,2,3770,0.003783163,0.229166009,counterexample found
water,polynomial,f1,new,4,6628,0.005774223,3.012788277,counterexample found
water,polynomial,f1,new,6,9534,0.032365382,3.235228023,counterexample found
water,polynomial,f2,new,2,3615,0.002947101,0.213520624,no counterexample
water,polynomial,f2,new,4,6259,0.003876801,0.346142427,no counterexample
water,polynomial,f2,new,6,8903,0.005417378,0.60135607,no counterexample
water,polynomial,f2,new,8,11547,0.007706293,0.67737915,no counterexample
water,polynomial,f2,new,10,14191,0.008479696,1.458502032,no counterexample
water,polynomial,f2,new,12,16835,0.010047627,5.119340973,no counterexample
water,polynomial,f2,new,14,19479,0.012219639,2.315989723,no counterexample
water,polynomial,f3,new,2,3159,0.004378946,0.709496828,counterexample found
water,polynomial,f3,new,4,6177,0.008429945,0.488792192,counterexample found
water,polynomial,f3,new,6,9731,0.013256966,1.089324568,counterexample found
water,polynomial,f3,new,8,13821,0.019987543,2.814761654,counterexample found
water,polynomial,f3,new,10,18447,0.124007789,25.37996118,counterexample found
water,polynomial,f4,new,2,4148,0.005219154,0.212572442,no counterexample
water,polynomial,f4,new,4,8330,0.035178979,1.078479216,no counterexample
water,polynomial,f4,new,6,13520,0.067987415,1.542142962,no counterexample
water,polynomial,f4,new,8,19718,0.103869582,1.841119746,no counterexample
water,polynomial,f4,new,10,26924,0.142868835,1.892978343,no counterexample
water,polynomial,f4,new,12,35138,0.186780323,1.954006463,no counterexample
water,polynomial,f4,new,14,44360,0.186167416,2.131958948,no counterexample
water,polynomial,f4,new,16,54590,0.374894326,2.164687879,no counterexample
water,polynomial,f4,new,18,65828,0.216765318,1.609047439,no counterexample
water,polynomial,f4,new,20,78074,0.778296012,2.267730389,no counterexample
thermo,polynomial,f1,new,2,2943,0.002890375,0.118210215,no counterexample
thermo,polynomial,f1,new,4,5259,0.00385211,0.188182917,no counterexample
thermo,polynomial,f1,new,6,7575,0.005362611,0.26021417,no counterexample
