model,dynamic,formula,alorithm,bound,encoding_size,encoding_time,smt_solving_time,model_checking_result
railroad,polynomial,f1,new,2,3296,0.002957277,0.204475009,counterexample found
railroad,polynomial,f1,new,4,5635,0.003322504,0.343613284,counterexample found
railroad,polynomial,f1,new,6,7973,0.005173243,0.495150716,counterexample found
railroad,polynomial,f1,new,8,10311,0.006675969,0.658723808,counterexample found
railroad,polynomial,f1,new,10,12649,0.007261021,0.841880122,counterexample found
railroad,polynomial,f1,new,12,14987,0.009077753,0.996697552,counterexample found
railroad,polynomial,f1,new,14,17325,0.009861683,1.270847539,counterexample found
railroad,polynomial,f1,new,16,19663,0.011941898,1.329575519,counterexample found
railroad,polynomial,f1,new,18,22001,0.01300075,1.500446435,counterexample found
railroad,polynomial,f1,new,20,24339,0.014581679,1.74917506,counterexample found
railroad,polynomial,f2,new,2,3292,0.002341758,0.200241159,no counterexample
railroad,polynomial,f2,new,4,5627,0.003168934,0.331957838,no counterexample
railroad,polynomial,f2,new,6,7961,0.005087573,0.475340257,no counterexample
railroad,polynomial,f2,new,8,10295,0.00635602,0.719009071,no counterexample
railroad,polynomial,f2,new,10,12629,0.007586428,5.986049592,no counterexample
railroad,polynomial,f2,new,12,14963,0.008836949,2.698236188,no counterexample
railroad,polynomial,f2,new,14,17297,0.010043113,7.51493395,no counterexample
railroad,polynomial,f2,new,16,19631,0.010918499,12.66749869,no counterexample
railroad,polynomial,f2,new,18,21965,0.013581932,16.38804474,no counterexample
railroad,polynomial,f2,new,20,24299,0.049832123,16.67869967,no counterexample
railroad,polynomial,f3,new,2,5319,0.008028161,0.325769111,counterexample found
railroad,polynomial,f3,new,4,10057,0.007497489,0.627158357,counterexample found
railroad,polynomial,f3,new,6,15643,0.014290801,1.082975045,counterexample found
railroad,polynomial,f3,new,8,22077,0.019578543,1.579031933,counterexample found
railroad,polynomial,f3,new,10,29359,0.05886738,10.73978419,counterexample found
railroad,polynomial,f4,new,2,5266,0.004094981,0.319234707,no counterexample
railroad,polynomial,f4,new,4,9952,0.007246751,0.610222048,no counterexample
railroad,polynomial,f4,new,6,15486,0.011943216,1.030804036,no counterexample
railroad,polynomial,f4,new,8,21868,0.018240271,3.175943155,no counterexample
railroad,polynomial,f4,new,10,29098,0.058034508,16.70365723,no counterexample
railroad,polynomial,f4,new,12,37176,0.036392894,17.17325303,no counterexample
railroad,polynomial,f4,new,14,46102,0.088807073,17.67717775,no counterexample
railroad,polynomial,f4,new,16,55876,0.060732603,18.24347804,no counterexample
railroad,polynomial,f4,new,18,66498,0.121573906,18.83715969,no counterexample
railroad,polynomial,f4,new,20,77968,0.148962086,19.60066929,no counterexample
car,polynomial,f1,new,2,10055,0.002581149,0.611119304,no counterexample
car,polynomial,f1,new,4,17038,0.003909767,1.019369064,no counterexample
car,polynomial,f1,new,6,24020,0.004932588,1.434370838,no counterexample
car,polynomial,f1,new,8,31002,0.006950798,1.844066361,no counterexample
car,polynomial,f1,new,10,37984,0.007735468,2.259468341,no counterexample
car,polynomial,f1,new,12,44966,0.009196486,2.670892628,no counterexample
car,polynomial,f1,new,14,51948,0.010560014,3.073603032,no counterexample
car,polynomial,f1,new,16,58930,0.012520325,3.42575719,no counterexample
car,polynomial,f1,new,18,65912,0.013391899,3.923259274,no counterexample
car,polynomial,f1,new,20,72894,0.015468556,4.314794687,no counterexample
car,polynomial,f2,new,2,9463,0.004860664,0.58313697,no counterexample
car,polynomial,f2,new,4,16050,0.003841283,0.977611586,no counterexample
car,polynomial,f2,new,6,22636,0.005522743,1.364743813,no counterexample
car,polynomial,f2,new,8,29222,0.006972568,1.775281711,no counterexample
car,polynomial,f2,new,10,35808,0.007603672,2.144316815,no counterexample
car,polynomial,f2,new,12,42394,0.009102153,2.521529178,no counterexample
car,polynomial,f2,new,14,48980,0.010337403,2.919109073,no counterexample
car,polynomial,f2,new,16,55566,0.012363237,3.326454628,no counterexample
car,polynomial,f2,new,18,62152,0.013868737,3.704674187,no counterexample
car,polynomial,f2,new,20,68738,0.015283464,4.098934224,no counterexample
car,polynomial,f3,new,2,2182,0.006172955,0.144085203,no counterexample
car,polynomial,f3,new,4,4912,0.005987364,0.306907841,no counterexample
car,polynomial,f3,new,6,8458,0.010990785,0.516733763,no counterexample
car,polynomial,f3,new,8,12820,0.0165936,0.774137039,no counterexample
car,polynomial,f3,new,10,17998,0.024559352,1.084660948,no counterexample
car,polynomial,f3,new,12,23992,0.034314261,1.444797373,no counterexample
car,polynomial,f3,new,14,30802,0.077364069,1.832426492,no counterexample
car,polynomial,f3,new,16,38428,0.058652133,2.280009544,no counterexample
car,polynomial,f3,new,18,46870,0.108358423,2.792034809,no counterexample
car,polynomial,f3,new,20,56128,0.135425934,3.355994624,no counterexample
car,polynomial,f4,new,2,11701,0.004481277,0.707925341,no counterexample
car,polynomial,f4,new,4,20815,0.00733632,1.241917606,no counterexample
car,polynomial,f4,new,6,30777,0.012774959,1.839675765,no counterexample
car,polynomial,f4,new,8,41587,0.018936393,2.460036293,no counterexample
car,polynomial,f4,new,10,53245,0.026499321,3.150119781,no counterexample
car,polynomial,f4,new,12,65751,0.036779612,3.889357201,no counterexample
car,polynomial,f4,new,14,79105,0.081275686,4.730344281,no counterexample
car,polynomial,f4,new,16,93307,0.065108139,5.541284963,no counterexample
car,polynomial,f4,new,18,108357,0.079814747,6.471140448,no counterexample
car,polynomial,f4,new,20,124255,0.141232252,7.500736118,no counterexample
water,polynomial,f1,new,2,32972,0.004089701,1.998440059,counterexample found
water,polynomial,f1,new,4,55340,0.004714437,5.493544174,counterexample found
water,polynomial,f1,new,6,77788,0.007228088,21.67363319,counterexample found
water,polynomial,f1,new,8,100316,0.009520693,7.181943687,counterexample found
water,polynomial,f2,new,2,32766,0.002688552,1.829883725,no counterexample
water,polynomial,f2,new,4,54855,0.003895612,3.077143728,no counterexample
water,polynomial,f2,new,6,76943,0.005005986,4.534058989,no counterexample
water,polynomial,f2,new,8,99031,0.006731665,10.71914136,no counterexample
water,polynomial,f2,new,10,121119,0.008540224,21.79259742,no counterexample
