model,dynamic,formula,alorithm,bound,encoding_size,encoding_time,smt_solving_time,satisfiability_result
nested-1,,f1,new,4,152,0.000880454,0.001711415,SAT
nested-1,,f1,new,8,292,0.001010562,0.002355946,SAT
nested-1,,f1,new,12,432,0.001494639,0.003272831,SAT
nested-1,,f1,new,16,572,0.002022784,0.0041596,SAT
nested-1,,f1,new,20,712,0.002623198,0.005158912,SAT
nested-1,,f2,new,4,360,0.001096817,0.002681826,SAT
nested-1,,f2,new,8,804,0.002158871,0.005980279,SAT
nested-1,,f2,new,12,1344,0.003853451,0.010496573,SAT
nested-1,,f2,new,16,1980,0.005284367,0.015842426,SAT
nested-1,,f2,new,20,2712,0.007954019,0.021418889,SAT
nested-1,,f3,new,4,152,0.000639305,0.001205242,SAT
nested-1,,f3,new,8,292,0.000967396,0.002169998,SAT
nested-1,,f3,new,12,432,0.001418872,0.003084802,SAT
nested-1,,f3,new,16,572,0.002010079,0.004064891,SAT
nested-1,,f3,new,20,712,0.002518768,0.005168409,SAT
nested-1,,f4,new,4,156,0.000650251,0.00125131,SAT
nested-1,,f4,new,8,304,0.000908609,0.002182873,SAT
nested-1,,f4,new,12,452,0.001483725,0.003144835,SAT
nested-1,,f4,new,16,600,0.001947018,0.00409839,SAT
nested-1,,f4,new,20,748,0.00248647,0.004999584,SAT
nested-1,,f5,new,4,360,0.001547053,0.002576659,SAT
nested-1,,f5,new,8,804,0.002505053,0.005934674,SAT
nested-1,,f5,new,12,1344,0.003603371,0.010134557,SAT
nested-1,,f5,new,16,1980,0.005381898,0.015479273,SAT
nested-1,,f5,new,20,2712,0.007981095,0.021563429,SAT
nested-1,,f6,new,4,368,0.000999718,0.002899846,SAT
nested-1,,f6,new,8,816,0.002141673,0.006556051,SAT
nested-1,,f6,new,12,1360,0.003676003,0.013525106,SAT
nested-1,,f6,new,16,2000,0.005209873,0.024765274,SAT
nested-1,,f6,new,20,2736,0.008113046,0.038026972,SAT
nested-1,,f7,new,4,238,0.001167829,0.001828655,SAT
nested-1,,f7,new,8,462,0.001744028,0.003185942,SAT
nested-1,,f7,new,12,686,0.00283794,0.004593164,SAT
nested-1,,f7,new,16,910,0.003774704,0.005985918,SAT
nested-1,,f7,new,20,1134,0.00491869,0.00745141,SAT
nested-1,,f8,new,4,442,0.001666973,0.003141999,SAT
nested-1,,f8,new,8,962,0.002919571,0.007106534,SAT
nested-1,,f8,new,12,1578,0.004908002,0.011036128,SAT
nested-1,,f8,new,16,2290,0.007084266,0.016384464,SAT
nested-1,,f8,new,20,3098,0.039173083,0.023102348,SAT
nested-1,,f9,new,4,233,0.001161588,0.00179914,SAT
nested-1,,f9,new,8,457,0.001732142,0.003073895,SAT
nested-1,,f9,new,12,681,0.002856421,0.004437945,SAT
nested-1,,f9,new,16,905,0.003797831,0.005785488,SAT
nested-1,,f9,new,20,1129,0.004914622,0.007145146,SAT
nested-1,,f10,new,4,445,0.001645277,0.003106738,SAT
nested-1,,f10,new,8,973,0.002975324,0.007028247,SAT
nested-1,,f10,new,12,1597,0.005057081,0.011673568,SAT
nested-1,,f10,new,16,2317,0.007150401,0.016765062,SAT
nested-1,,f10,new,20,3133,0.01029311,0.023691343,SAT
nested-2,,f1,new,4,1315,0.005455191,0.011146168,SAT
nested-2,,f1,new,8,4691,0.01268391,0.037046557,SAT
nested-2,,f1,new,12,10147,0.027073571,0.080754768,SAT
nested-2,,f1,new,16,17683,0.05071678,0.143586349,SAT
nested-2,,f1,new,20,27299,0.115930464,0.229702943,SAT
nested-2,,f2,new,4,2133,0.010487278,0.018069737,SAT
nested-2,,f2,new,8,8157,0.024297045,0.061357678,SAT
nested-2,,f2,new,12,18085,0.087886589,0.131409476,SAT
nested-2,,f2,new,16,31917,0.1114818,0.244419453,SAT
nested-2,,f2,new,20,49653,0.265686489,0.486175127,SAT
nested-2,,f3,new,4,2137,0.00899058,0.01704203,SAT
nested-2,,f3,new,8,8161,0.024380278,0.068032183,SAT
nested-2,,f3,new,12,18089,0.085939595,0.134289669,SAT
nested-2,,f3,new,16,31921,0.147390932,0.339812245,SAT
nested-2,,f3,new,20,49657,0.227654759,0.652566702,SAT
nested-2,,f4,new,4,1363,0.005447128,0.011926735,SAT
nested-2,,f4,new,8,4795,0.01328911,0.038023748,SAT
nested-2,,f4,new,12,10307,0.028920365,0.083070089,SAT
nested-2,,f4,new,16,17899,0.052736464,0.140638107,SAT
nested-2,,f4,new,20,27571,0.117837447,0.222795251,SAT
nested-2,,f5,new,4,1269,0.007404726,0.010818707,SAT
nested-2,,f5,new,8,4573,0.019834498,0.036128778,SAT
nested-2,,f5,new,12,9925,0.071777876,0.078096139,SAT
nested-2,,f5,new,16,17325,0.078686937,0.133894354,SAT
nested-2,,f5,new,20,26773,0.161795388,0.209245669,SAT
nested-2,,f6,new,4,1286,0.004273755,0.011363808,SAT
nested-2,,f6,new,8,4634,0.013318084,0.037839898,SAT
nested-2,,f6,new,12,10062,0.02794255,0.080457473,SAT
nested-2,,f6,new,16,17570,0.087664464,0.150177432,SAT
nested-2,,f6,new,20,27158,0.0830329,0.212814373,SAT
nested-2,,f7,new,4,2389,0.007647891,0.019311493,SAT
nested-2,,f7,new,8,8817,0.024517066,0.066174994,SAT
nested-2,,f7,new,12,19309,0.079165597,0.154433303,SAT
nested-2,,f7,new,16,33865,0.129962219,0.429649037,SAT
nested-2,,f7,new,20,52485,0.2029513,0.434451989,SAT
nested-2,,f8,new,4,1294,0.005988775,0.010497945,SAT
nested-2,,f8,new,8,4654,0.012399961,0.03739328,SAT
nested-2,,f8,new,12,10094,0.054852636,0.093039455,SAT
nested-2,,f8,new,16,17614,0.052370876,0.137983193,SAT
nested-2,,f8,new,20,27214,0.121503733,0.244691472,SAT
nested-2,,f9,new,4,1364,0.008259861,0.012306564,SAT
nested-2,,f9,new,8,4788,0.014697446,0.03856609,SAT
nested-2,,f9,new,12,10292,0.031061397,0.079949523,SAT
nested-2,,f9,new,16,17876,0.089031231,0.139747103,SAT
nested-2,,f9,new,20,27540,0.093201344,0.211156147,SAT
nested-2,,f10,new,4,2187,0.01139012,0.018939758,SAT
nested-2,,f10,new,8,8267,0.026157125,0.070714612,SAT
nested-2,,f10,new,12,18251,0.06046009,0.165867421,SAT
nested-2,,f10,new,16,32139,0.148115367,0.23842662,SAT
nested-2,,f10,new,20,49931,0.228980551,0.446734314,SAT
nested-3,,f1,new,4,3287,0.016513024,0.028454953,SAT
nested-3,,f1,new,8,12539,0.033546867,0.102567609,SAT
nested-3,,f1,new,12,27775,0.113548953,0.205122428,SAT
nested-3,,f1,new,16,48995,0.185331381,0.482560307,SAT
nested-3,,f1,new,20,76199,0.35258007,0.565746485,SAT
nested-3,,f2,new,4,3515,0.015454721,0.030406605,SAT
nested-3,,f2,new,8,13147,0.03184797,0.104504233,SAT
nested-3,,f2,new,12,28923,0.107207362,0.267311135,SAT
nested-3,,f2,new,16,50843,0.172280551,0.399977455,SAT
nested-3,,f2,new,20,78907,0.327195876,0.621093258,SAT
nested-3,,f3,new,4,2620,0.009106046,0.021315799,SAT
nested-3,,f3,new,8,9440,0.019797478,0.090784707,SAT
nested-3,,f3,new,12,20484,0.040558898,0.212664578,SAT
nested-3,,f3,new,16,35752,0.104709298,0.467253472,SAT
nested-3,,f3,new,20,55244,0.205283484,0.541023646,SAT
nested-3,,f4,new,4,2437,0.010413274,0.021345287,SAT
nested-3,,f4,new,8,8981,0.021175778,0.085009026,SAT
nested-3,,f4,new,12,19653,0.048130289,0.175862883,SAT
nested-3,,f4,new,16,34453,0.119956172,0.651324293,SAT
nested-3,,f4,new,20,53381,0.235027341,1.008786791,SAT
nested-3,,f5,new,4,2388,0.007744853,0.020563755,SAT
nested-3,,f5,new,8,8856,0.022257115,0.070978165,SAT
nested-3,,f5,new,12,19420,0.08601227,0.153837703,SAT
nested-3,,f5,new,16,34080,0.08605221,0.271121256,SAT
nested-3,,f5,new,20,52836,0.224563799,0.431663412,SAT
nested-3,,f6,new,4,3250,0.016036438,0.028780519,SAT
nested-3,,f6,new,8,12406,0.034423187,0.097091203,SAT
nested-3,,f6,new,12,27482,0.11324558,0.243462433,SAT
nested-3,,f6,new,16,48478,0.189844652,0.539049723,SAT
nested-3,,f6,new,20,75394,0.358463833,1.339714735,SAT
nested-3,,f7,new,4,3402,0.014855219,0.029104392,SAT
nested-3,,f7,new,8,12826,0.034903125,0.102230936,SAT
nested-3,,f7,new,12,28298,0.116250881,0.235118158,SAT
nested-3,,f7,new,16,49818,0.192088396,0.405457776,SAT
nested-3,,f7,new,20,77386,0.360448915,0.642845594,SAT
nested-3,,f8,new,4,2404,0.011022567,0.021178765,SAT
nested-3,,f8,new,8,8920,0.022713612,0.07783978,SAT
nested-3,,f8,new,12,19564,0.050227871,0.202651029,SAT
nested-3,,f8,new,16,34336,0.124274536,0.569883706,SAT
nested-3,,f8,new,20,53236,0.24091877,1.014281656,SAT
nested-3,,f9,new,4,3325,0.017520267,0.031024834,SAT
nested-3,,f9,new,8,12621,0.036119503,0.102266848,SAT
nested-3,,f9,new,12,27901,0.117200585,0.223495609,SAT
nested-3,,f9,new,16,49165,0.196830204,0.433501469,SAT
nested-3,,f9,new,20,76413,0.367295645,0.821686123,SAT
nested-3,,f10,new,4,3320,0.017845384,0.029879582,SAT
nested-3,,f10,new,8,12612,0.036311597,0.107473824,SAT
nested-3,,f10,new,12,27888,0.118646353,0.211869426,SAT
nested-3,,f10,new,16,49148,0.19759153,0.411713612,SAT
nested-3,,f10,new,20,76392,0.371750303,0.737817829,SAT
nested-1,,f1,old,4,2072,0.003075691,0.048255313,
nested-1,,f1,old,8,6472,0.008141829,0.2206977,
nested-1,,f1,old,12,13272,0.014856515,0.665323955,
nested-1,,f1,old,16,22472,0.061308808,1.493692027,
nested-1,,f1,old,20,34072,0.03694012,2.852515719,
nested-1,,f2,old,4,2083,0.003277718,0.048949603,
nested-1,,f2,old,8,6499,0.0084646,0.218555415,
nested-1,,f2,old,12,13315,0.015596231,0.627991242,
nested-1,,f2,old,16,22531,0.063413954,1.389590788,
nested-1,,f2,old,20,34147,0.037553143,2.571002007,
nested-1,,f3,old,4,2090,0.005633553,0.053286166,
nested-1,,f3,old,8,6510,0.007098971,0.228035698,
nested-1,,f3,old,12,13330,0.014050476,0.645117651,
nested-1,,f3,old,16,22550,0.055077966,1.420941729,
nested-1,,f3,old,20,34170,0.036086279,3.370703837,
nested-1,,f4,old,4,2094,0.005915663,0.060265069,
