model,dynamic,formula,alorithm,bound,encoding_size,encoding_time,smt_solving_time,satisfiability_result
nested-1,,f1,new,4,230,0.001178816,0.104931995,SAT
nested-1,,f1,new,8,438,0.001607043,0.23094346,SAT
nested-1,,f1,new,12,646,0.002161804,0.236094575,SAT
nested-1,,f1,new,16,854,0.002691619,0.681507274,SAT
nested-1,,f1,new,20,1062,0.003326914,0.441367322,SAT
nested-1,,f2,new,4,609,0.001569066,0.202782152,SAT
nested-1,,f2,new,8,1513,0.002684261,0.437064525,SAT
nested-1,,f2,new,12,2737,0.004372328,0.591536878,SAT
nested-1,,f2,new,16,4281,0.006425856,0.721221447,SAT
nested-1,,f2,new,20,6145,0.032090332,0.752857386,SAT
nested-1,,f3,new,4,230,0.001192045,0.142759813,SAT
nested-1,,f3,new,8,438,0.001625068,0.415567791,SAT
nested-1,,f3,new,12,646,0.002139172,0.489247194,SAT
nested-1,,f3,new,16,854,0.002699587,0.346823476,SAT
nested-1,,f3,new,20,1062,0.003343398,0.288005842,SAT
nested-1,,f4,new,4,238,0.001183372,0.274691599,SAT
nested-1,,f4,new,8,454,0.001638858,0.420764665,SAT
nested-1,,f4,new,12,670,0.002148258,0.455900491,SAT
nested-1,,f4,new,16,886,0.002732154,0.559293575,SAT
nested-1,,f4,new,20,1102,0.003325918,0.36288273,SAT
nested-1,,f5,new,4,609,0.001997741,0.190686448,SAT
nested-1,,f5,new,8,1513,0.003203911,0.453683278,SAT
nested-1,,f5,new,12,2737,0.004712854,0.894940657,SAT
nested-1,,f5,new,16,4281,0.00681207,1.104669893,SAT
nested-1,,f5,new,20,6145,0.056364128,1.277349521,SAT
nested-1,,f6,new,4,601,0.002020305,0.485009042,SAT
nested-1,,f6,new,8,1497,0.00316299,0.800983126,SAT
nested-1,,f6,new,12,2713,0.068828215,0.940884969,SAT
nested-1,,f6,new,16,4249,0.023592424,1.165911741,SAT
nested-1,,f6,new,20,6105,0.032685529,1.240949667,SAT
nested-1,,f7,new,4,331,0.001178375,0.193111999,SAT
nested-1,,f7,new,8,639,0.002258634,0.232516117,SAT
nested-1,,f7,new,12,947,0.003199412,0.397367169,SAT
nested-1,,f7,new,16,1255,0.004416116,0.416502887,SAT
nested-1,,f7,new,20,1563,0.013727444,0.38915668,SAT
nested-1,,f8,new,4,702,0.002186998,0.277847121,SAT
nested-1,,f8,new,8,1698,0.003805717,0.531353452,SAT
nested-1,,f8,new,12,3014,0.013359454,0.724851429,SAT
nested-1,,f8,new,16,4650,0.04430586,0.974778197,SAT
nested-1,,f8,new,20,6606,0.043747804,1.006553093,SAT
nested-1,,f9,new,4,344,0.001649981,0.167910577,SAT
nested-1,,f9,new,8,664,0.002655087,0.252357756,SAT
nested-1,,f9,new,12,984,0.003282337,0.372810911,SAT
nested-1,,f9,new,16,1304,0.004449892,0.5069507,SAT
nested-1,,f9,new,20,1624,0.005821113,0.525181402,SAT
nested-1,,f10,new,4,715,0.002567665,0.319107644,SAT
nested-1,,f10,new,8,1723,0.024222191,0.715276837,SAT
nested-1,,f10,new,12,3051,0.030441387,1.010637353,SAT
nested-1,,f10,new,16,4699,0.02479177,1.239514315,SAT
nested-1,,f10,new,20,6667,0.040246671,1.354637785,SAT
